set	truth	shift	n	median_d	modal_10bp_bin_lo	frac_within_10	frac_within_25	bin_lo	bin_width_bp	pct_of_calls	source	panel
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	60	20	0.970000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	80	20	0.690000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	100	20	0.350000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	120	20	0.230000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	140	20	0.170000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	160	20	0.280000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	180	20	0.100000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	200	20	0.240000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	220	20	0.210000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	240	20	0.240000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	260	20	0.420000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	280	20	0.230000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
m1_tier2_toolshift87	atlas	0	805	16	10	0.039800	0.096900	-200	20	0.620000	results/paramsweep/leadB/dist_m1_tier2_tool87.txt	f_annotation
m1_tier2_toolshift87	atlas	0	805	16	10	0.039800	0.096900	-180	20	0.500000	results/paramsweep/leadB/dist_m1_tier2_tool87.txt	f_annotation
m1_tier2_toolshift87	atlas	0	805	16	10	0.039800	0.096900	-160	20	0.990000	results/paramsweep/leadB/dist_m1_tier2_tool87.txt	f_annotation
m1_tier2_toolshift87	atlas	0	805	16	10	0.039800	0.096900	-140	20	0.620000	results/paramsweep/leadB/dist_m1_tier2_tool87.txt	f_annotation
m1_tier2_toolshift87	atlas	0	805	16	10	0.039800	0.096900	-120	20	0.370000	results/paramsweep/leadB/dist_m1_tier2_tool87.txt	f_annotation
m1_tier2_toolshift87	atlas	0	805	16	10	0.039800	0.096900	-100	20	0.370000	results/paramsweep/leadB/dist_m1_tier2_tool87.txt	f_annotation
m1_tier2_toolshift87	atlas	0	805	16	10	0.039800	0.096900	-80	20	1.120000	results/paramsweep/leadB/dist_m1_tier2_tool87.txt	f_annotation
m1_tier2_toolshift87	atlas	0	805	16	10	0.039800	0.096900	-60	20	1.490000	results/paramsweep/leadB/dist_m1_tier2_tool87.txt	f_annotation
m1_tier2_toolshift87	atlas	0	805	16	10	0.039800	0.096900	-40	20	2.610000	results/paramsweep/leadB/dist_m1_tier2_tool87.txt	f_annotation
m1_tier2_toolshift87	atlas	0	805	16	10	0.039800	0.096900	-20	20	2.980000	results/paramsweep/leadB/dist_m1_tier2_tool87.txt	f_annotation
m1_tier2_toolshift87	atlas	0	805	16	10	0.039800	0.096900	0	20	5.960000	results/paramsweep/leadB/dist_m1_tier2_tool87.txt	f_annotation
