symbol	m1_delta	m2_delta	m1_mono	m2_mono	m1_npas	m2_npas	m1_wdi_Spermatocyte	m2_wdi_Spermatocyte	m1_wdi_RoundSpermatid	m2_wdi_RoundSpermatid	m1_wdi_Elongating	m2_wdi_Elongating	mean_delta
Pcsk4	-0.6555255052212456	-0.5493272651390186	True	True	2	2	0.9727668845315904	0.9747003994673769	0.9356388088376562	0.9346983951300498	0.3172413793103448	0.4253731343283582	-0.6024263851801321
Atg12	-0.6320514626473213	-0.5636828644501279	False	False	2	2	0.8148471615720524	0.7695652173913043	0.0805300713557594	0.0727096461463887	0.1827956989247312	0.2058823529411764	-0.5978671635487246
Lpin1	-0.5416415727436978	-0.6100307891751742	True	True	3	3	0.6814720812182741	0.6955922865013774	0.5465277777777777	0.5588470776621297	0.1398305084745762	0.0855614973262032	-0.575836180959436
Glod4	-0.7725562825103113	-0.3759813335501911	True	True	2	3	0.8338192419825073	0.9163763066202092	0.6843853820598007	0.8601798855273917	0.061262959472196	0.5403949730700179	-0.5742688080302512
Eif4h	-0.8872993706228689	-0.2372251354201826	True	False	2	3	0.9028801071667782	0.7181556195965418	0.2292682926829268	0.3811821471652593	0.0155807365439093	0.4809304841763592	-0.5622622530215258
Vhl	-0.5595266428665873	-0.562494200838986	True	True	2	2	0.5666666666666667	0.5678391959798995	0.0326747720364741	0.0326018808777429	0.0071400238000793	0.0053449951409135	-0.5610104218527867
Exosc3	-0.4673738347798135	-0.6534896302554197	True	True	3	2	0.9687743950039032	0.9615065078925504	0.9412338930105428	0.9247943595769684	0.5014005602240896	0.3080168776371308	-0.5604317325176167
Eipr1	-0.5101173020527858	-0.6078814338235294	True	True	2	2	0.6919354838709677	0.740234375	0.3721973094170404	0.4530516431924882	0.1818181818181818	0.1323529411764706	-0.5589993679381576
Sec24b	-0.4314285714285714	-0.6461640211640212	True	True	2	2	0.9314285714285714	0.8869047619047619	0.8753799392097265	0.8267254038179148	0.5	0.2407407407407407	-0.5387962962962962
Cant1	-0.4414550623505847	-0.6207703860765085	True	True	2	2	0.7652645861601085	0.7419825072886297	0.5614035087719298	0.6019830028328612	0.3238095238095238	0.1212121212121212	-0.5311127242135466
Pofut2	-0.477795589174567	-0.5688187470109995	True	True	2	2	0.6080476900149031	0.6276422764227643	0.582901554404145	0.6015873015873016	0.1302521008403361	0.0588235294117647	-0.5233071680927832
Cpeb4	-0.6351351351351351	-0.4098360655737705	True	True	2	2	0.6351351351351351	0.4098360655737705	0.0355648535564853	0.0119956379498364	0.0	0.0	-0.5224856003544528
Svip	-0.4960759027266028	-0.5420255935878202	True	True	2	2	0.567090395480226	0.6284741917186614	0.3249158249158249	0.3747580332946186	0.0710144927536231	0.0864485981308411	-0.5190507481572115
Rbm28	-0.2897841492882815	-0.747429841622673	True	True	2	2	0.2972972972972973	0.7966101694915254	0.0636132315521628	0.7096774193548387	0.0075131480090157	0.0491803278688524	-0.5186069954554773
Tmem67	-0.4393799024149218	-0.5706959706959707	True	True	2	2	0.4552529182879377	0.6373626373626373	0.0484949832775919	0.0933660933660933	0.0158730158730158	0.0666666666666666	-0.5050379365554463
Rgs3	-0.6164406779661017	-0.3891938250428817	True	True	3	2	0.83	0.9528301886792452	0.5564853556485355	0.7817679558011049	0.2135593220338983	0.5636363636363636	-0.5028172515044917
Pcolce	-0.5040070269365903	-0.485272958104105	True	True	3	3	0.5406976744186046	0.5176470588235295	0.0503538377789874	0.0754511512134411	0.0366906474820143	0.0323741007194244	-0.4946399925203476
Lrp2bp	-0.412146872034455	-0.5757215619694398	True	True	2	2	0.4271844660194174	0.5967741935483871	0.0488721804511278	0.0505050505050505	0.0150375939849624	0.0210526315789473	-0.4939342170019474
Chtf8	-0.4304578313253012	-0.5472363457438084	False	True	3	3	0.6144578313253012	0.6791044776119403	0.1671597633136094	0.1931216931216931	0.184	0.1318681318681318	-0.4888470885345548
Gemin5	-0.431564465408805	-0.5399294270591513	True	True	3	3	0.4669811320754717	0.5764462809917356	0.115138592750533	0.145123384253819	0.0354166666666666	0.0365168539325842	-0.4857469462339782
Mapk3	-0.4840063597289031	-0.4866386035455869	True	True	2	2	0.9522144522144522	0.9561042524005487	0.7421875	0.8522039757994814	0.4682080924855491	0.4694656488549618	-0.485322481637245
Cep104	-0.3815935371455726	-0.586021505376344	True	True	2	2	0.5934579439252337	0.6666666666666666	0.4346666666666666	0.422360248447205	0.211864406779661	0.0806451612903225	-0.4838075212609583
Atat1	-0.5815850815850816	-0.3854619565217391	True	True	2	3	0.6794871794871795	0.4510869565217391	0.3980582524271844	0.436426116838488	0.0979020979020979	0.065625	-0.4835235190534104
