method	perm	pair	pas_id	pvalue	qvalue
fisher	3	Met_vs_Normal	16811	0.2663621823161455	0.2996574551056636
fisher	3	Met_vs_Normal	16834	0.2663621823161455	0.2996574551056636
fisher	3	Met_vs_Normal	437	0.3731617640891734	0.3731617640891734
fisher	3	Met_vs_Normal	433	0.3731617640891734	0.3731617640891734
fisher	3	Met_vs_StageI	214607	3.8951152745889455e-11	3.505603747130051e-10
fisher	3	Met_vs_StageI	214589	3.8951152745889455e-11	3.505603747130051e-10
fisher	3	Met_vs_StageI	299499	4.0645153950530785e-10	1.829031927773885e-09
fisher	3	Met_vs_StageI	299505	4.0645153950530785e-10	1.829031927773885e-09
fisher	3	Met_vs_StageI	21302	2.9248921222003925e-06	8.774676366601177e-06
fisher	3	Met_vs_StageI	21353	2.9248921222003925e-06	8.774676366601177e-06
fisher	3	Met_vs_StageI	16834	0.2825435541862482	0.6357229969190585
fisher	3	Met_vs_StageI	16811	0.2825435541862482	0.6357229969190585
fisher	3	Met_vs_StageI	433	0.8999492898580563	0.8999492898580563
fisher	3	Met_vs_StageI	437	0.8999492898580563	0.8999492898580563
fisher	3	Met_vs_StageI	273197	0.8791474195188353	0.8999492898580563
fisher	3	Met_vs_StageI	273194	0.8791474195188353	0.8999492898580563
fisher	3	Met_vs_StageI	52558	0.5068038765563219	0.8999492898580563
fisher	3	Met_vs_StageI	52566	0.5068038765563219	0.8999492898580563
fisher	3	Met_vs_StageI	49240	0.8559691066535312	0.8999492898580563
fisher	3	Met_vs_StageI	49266	0.8559691066535312	0.8999492898580563
fisher	3	Met_vs_StageI	251394	0.8657316318660847	0.8999492898580563
fisher	3	Met_vs_StageI	251386	0.8657316318660847	0.8999492898580563
fisher	3	Normal_vs_StageI	251394	7.736504548731768e-12	6.962854093858591e-11
fisher	3	Normal_vs_StageI	251386	7.736504548731768e-12	6.962854093858591e-11
fisher	3	Normal_vs_StageI	49240	1.0410183764828349e-07	4.684582694172757e-07
fisher	3	Normal_vs_StageI	49266	1.0410183764828349e-07	4.684582694172757e-07
fisher	3	Normal_vs_StageI	299499	1.4365743115898008e-05	4.3097229347694025e-05
fisher	3	Normal_vs_StageI	299505	1.4365743115898008e-05	4.3097229347694025e-05
fisher	3	Normal_vs_StageI	52566	0.0001669687187497	0.000375679617187
fisher	3	Normal_vs_StageI	52558	0.0001669687187497	0.000375679617187
fisher	3	Normal_vs_StageI	16811	0.0003158973676798	0.0005686152618237
fisher	3	Normal_vs_StageI	16834	0.0003158973676798	0.0005686152618237
fisher	3	Normal_vs_StageI	273197	0.0014437149791802	0.0021655724687704
fisher	3	Normal_vs_StageI	273194	0.0014437149791802	0.0021655724687704
fisher	3	Normal_vs_StageI	21353	0.0092934785743211	0.0119487581669842
fisher	3	Normal_vs_StageI	21302	0.0092934785743211	0.0119487581669842
fisher	3	Normal_vs_StageI	433	0.0132198122514993	0.0148722887829367
fisher	3	Normal_vs_StageI	437	0.0132198122514993	0.0148722887829367
fisher	3	Normal_vs_StageI	214589	0.679319357636186	0.679319357636186
fisher	3	Normal_vs_StageI	214607	0.679319357636186	0.679319357636186
fisher	4	IVprimary_vs_Met	105680	5.982324410831805e-06	6.879673072456576e-05
fisher	4	IVprimary_vs_Met	105690	5.982324410831804e-06	6.879673072456576e-05
fisher	4	IVprimary_vs_Met	52558	0.0014142881256672	0.0081321567225865
fisher	4	IVprimary_vs_Met	52557	0.0014142881256672	0.0081321567225865
fisher	4	IVprimary_vs_Met	43539	0.0029875048066119	0.0114521017586791
fisher	4	IVprimary_vs_Met	43534	0.0029875048066119	0.0114521017586791
fisher	4	IVprimary_vs_Met	221	0.0054237867459267	0.0155933868945395
fisher	4	IVprimary_vs_Met	218	0.0054237867459267	0.0155933868945395
fisher	4	IVprimary_vs_Met	39791	0.2394980960056287	0.3977277694679767
fisher	4	IVprimary_vs_Met	39788	0.2394980960056287	0.3977277694679767
fisher	4	IVprimary_vs_Met	109435	0.2420951640239858	0.3977277694679767
fisher	4	IVprimary_vs_Met	109436	0.2420951640239858	0.3977277694679767
fisher	4	IVprimary_vs_Met	260811	0.2347694585590574	0.3977277694679767
fisher	4	IVprimary_vs_Met	260814	0.2347694585590574	0.3977277694679767
fisher	4	IVprimary_vs_Met	11529	0.337044453720084	0.5168014957041288
fisher	4	IVprimary_vs_Met	11541	0.363273662585819	0.5222058899671149
fisher	4	IVprimary_vs_Met	72944	0.4967088499725335	0.6346835305204594
fisher	4	IVprimary_vs_Met	72941	0.4967088499725335	0.6346835305204594
fisher	4	IVprimary_vs_Met	122560	0.6704421956388783	0.77100852498471
fisher	4	IVprimary_vs_Met	122503	0.6704421956388783	0.77100852498471
