symbol	m1_delta	m2_delta	m1_mono	m2_mono	m1_npas	m2_npas	m1_wdi_Spermatocyte	m2_wdi_Spermatocyte	m1_wdi_RoundSpermatid	m2_wdi_RoundSpermatid	m1_wdi_Elongating	m2_wdi_Elongating	mean_delta
Tmx1	-0.3878365579759166	-0.551036773971818	True	True	2	2	0.6246786632390745	0.654485049833887	0.3220338983050847	0.3386973180076628	0.2368421052631578	0.1034482758620689	-0.4694366659738673
Daam1	-0.3764044943820224	-0.5569122235788903	True	True	3	3	0.3764044943820224	0.5679012345679012	0.1923076923076923	0.1611842105263158	0.0	0.0109890109890109	-0.4666583589804564
Dda1	-0.444695546815505	-0.4648607295260739	True	True	2	2	0.4528521536670547	0.4657836644591611	0.0367892976588628	0.0313868613138686	0.0081566068515497	0.0009229349330872	-0.4547781381707895
Atat1	-0.5104243316163846	-0.3945186084142395	True	True	3	4	0.6296296296296297	0.4466019417475728	0.4547413793103448	0.388659793814433	0.119205298013245	0.0520833333333333	-0.452471470015312
Cbl	-0.4209811906146985	-0.4704259303530161	True	True	4	4	0.4950552646887726	0.5023408239700374	0.2086720867208672	0.1695601851851852	0.074074074074074	0.0319148936170212	-0.4457035604838573
Lipe	-0.504171052631579	-0.3834927160604165	True	True	3	2	0.792	0.8134328358208955	0.38860103626943	0.4945945945945946	0.2878289473684211	0.429940119760479	-0.4438318843459977
Atf1	-0.3951957078405072	-0.4897605083088954	True	True	2	2	0.6127098321342925	0.6480938416422287	0.4019607843137255	0.3859007832898172	0.2175141242937853	0.1583333333333333	-0.4424781080747013
Ddx19b	-0.367864282439248	-0.513841192592738	True	True	4	4	0.415864282439248	0.5265638389031705	0.0831889081455806	0.0703784044348035	0.048	0.0127226463104325	-0.4408527375159929
Stk36	-0.4032104534440983	-0.4729088501434562	True	True	3	3	0.5467289719626168	0.6142131979695431	0.4422110552763819	0.4617952522255193	0.1435185185185185	0.1413043478260869	-0.4380596517937772
Erlin2	-0.4593352192362093	-0.4106904825379899	True	True	2	2	0.495049504950495	0.4752066115702479	0.1823529411764705	0.1715817694369973	0.0357142857142857	0.064516129032258	-0.4350128508870996
Pttg1ip	-0.4320559478668197	-0.4347887302388932	True	True	3	3	0.9273772204806688	0.9318901795142556	0.5380208333333333	0.5381642512077295	0.495321272613849	0.4971014492753623	-0.4334223390528565
Fam78a	-0.455242061010056	-0.4059601012908406	True	True	2	2	0.4566929133858268	0.4063492063492063	0.0536277602523659	0.0387650882079851	0.0014508523757707	0.0003891050583657	-0.4306010811504483
Prdm4	-0.58	-0.2809374533512464	True	True	2	3	0.75	0.8441558441558441	0.4083333333333333	0.7022955523672884	0.17	0.5632183908045977	-0.4304687266756232
4921536K21Rik	-0.4270476114256751	-0.4336267551540849	True	True	2	2	0.4282560706401766	0.4342105263157895	0.0212335692618806	0.0164186762442278	0.0012084592145015	0.0005837711617046	-0.43033718328988
